,Price,Town,Zip,Beds,Baths,Days_Listed,Sqft,Age,Lot_Size
80,369000.0,Bayville,11709,4.0,2.0,63.0,,1920.0,
81,3950000.0,Great Neck,11024,7.0,6.5,63.0,,1981.0,0.92
82,698000.0,Albertson,11507,3.0,2.5,95.0,3700.0,1986.0,
83,825000.0,Oyster Bay,11771,3.0,2.0,119.0,1900.0,1969.0,0.24
84,169000.0,Mineola,11501,1.0,1.0,56.0,,1950.0,
85,465000.0,Hewlett,11557,4.0,3.0,119.0,,1888.0,0.2
86,549000.0,Oyster Bay,11771,3.0,1.5,86.0,2007.0,1926.0,0.28
87,2895000.0,Old Westbury,11568,6.0,6.5,148.0,,1939.0,
88,949000.0,Oyster Bay,11771,4.0,4.0,18.0,92782.0,1954.0,2.13
89,224888.0,Great Neck,11021,1.0,1.0,20.0,,1945.0,
90,568000.0,Levittown,11756,3.0,2.5,10.0,2048.0,1949.0,
91,1225000.0,Woodbury,11797,5.0,5.0,119.0,,1960.0,1.0
92,325000.0,Hempstead,11550,4.0,2.5,258.0,2229.0,1964.0,
93,685000.0,North Bellmore,11710,7.0,4.0,138.0,,1914.0,0.23
94,2999999.0,Glen Head,11545,5.0,4.5,119.0,6032.0,2002.0,2.01
95,269000.0,Westbury,11590,5.0,2.0,140.0,,1932.0,
96,850000.0,Oyster Bay,11771,5.0,2.5,62.0,2340.0,1978.0,0.34
97,895000.0,Garden City,11530,4.0,2.0,10.0,2200.0,1955.0,0.21
98,769000.0,Roslyn Heights,11577,4.0,3.0,68.0,,1951.0,0.32
99,499000.0,Massapequa,11758,5.0,2.5,61.0,,,0.17
100,585000.0,Baldwin,11510,5.0,4.5,129.0,,1923.0,0.23
101,529500.0,Merrick,11566,4.0,2.0,132.0,,1964.0,
102,575000.0,Oceanside,11572,4.0,3.0,32.0,,1955.0,
103,459000.0,Wantagh,11793,4.0,2.5,17.0,,1988.0,
104,2500.0,New Hyde Park,11040,3.0,2.0,142.0,,1925.0,
105,1318000.0,Manhasset,11030,5.0,3.5,62.0,,1957.0,0.23
106,387000.0,Massapequa Park,11762,4.0,2.5,152.0,,,
107,579990.0,North Massapequa,11758,6.0,2.0,234.0,,1960.0,0.24
108,599990.0,Farmingdale,11735,5.0,2.5,197.0,,1988.0,0.17
109,290000.0,Hempstead,11550,8.0,4.0,20.0,7000.0,1925.0,0.16
110,2195000.0,Woodbury,11797,5.0,4.5,119.0,5250.0,2005.0,1.11
111,2949999.0,Woodbury,11797,5.0,5.5,386.0,6150.0,2005.0,
112,4295000.0,Glen Head,11545,6.0,7.5,,6400.0,2009.0,
113,989000.0,Roslyn,11576,3.0,2.0,92.0,,1961.0,0.2
114,439999.0,Massapequa Park,11762,3.0,2.0,150.0,,1952.0,
115,299000.0,Freeport,11520,3.0,1.5,,,1926.0,
116,379000.0,Port Washington,11050,7.0,2.5,141.0,,1966.0,0.09
117,195000.0,Hempstead,11550,4.0,3.0,120.0,1760.0,1926.0,0.08
118,224000.0,Hempstead,11550,3.0,1.0,120.0,,1929.0,0.07
119,359000.0,Bayville,11709,3.0,3.0,51.0,,1935.0,
120,849000.0,Port Washington,11050,4.0,2.5,34.0,2160.0,1969.0,0.34
121,339000.0,Merrick,11566,3.0,1.0,35.0,,1950.0,0.11
122,1799999.0,Port Washington,11050,4.0,3.5,120.0,4265.0,2011.0,0.34
123,525000.0,East Rockaway,11518,6.0,3.0,,2652.0,1954.0,
124,1290000.0,Manhasset,11030,4.0,2.5,119.0,2750.0,1967.0,0.27
125,7800000.0,Glen Head,11545,6.0,5.0,8.0,,1994.0,5.0
126,600000.0,Mineola,11501,2.0,2.0,7.0,,1960.0,0.12
127,535000.0,Plainview,11803,5.0,3.0,67.0,1840.0,1954.0,0.15
128,539000.0,Albertson,11507,4.0,2.0,120.0,,1947.0,0.18
129,189000.0,Hempstead,11550,3.0,1.5,120.0,1109.0,1923.0,0.17
130,498000.0,Plainview,11803,3.0,2.0,24.0,,1953.0,
131,549000.0,Plainview,11803,2.0,2.0,127.0,1350.0,2002.0,
132,1199918.0,Merrick,11566,5.0,3.5,113.0,3822.0,1966.0,0.17
133,474977.0,Merrick,11566,4.0,2.0,84.0,,1940.0,0.18
134,729000.0,Seaford,11783,4.0,3.0,36.0,,1988.0,0.14
135,899999.0,Bellmore,11710,4.0,3.0,16.0,3000.0,1964.0,
136,519000.0,North Merrick,11566,5.0,2.0,88.0,2254.0,1987.0,0.14
137,1375000.0,Great Neck,11021,4.0,4.5,120.0,3680.0,1926.0,0.26
138,429000.0,Massapequa,11758,5.0,2.0,7.0,,1949.0,
