,Attributes,Price
39,"['\n\xe2\x86\x93\n$37,500\nfor rent\n', '3 beds3.5 baths4,700 ft\xc2\xb2', '\n        Rental Unit in Soho ']","
↓
$37,500
for rent
"
40,"['\n$23,500\nfor rent\n', 'Furnished4 beds5.5 baths4,500 ft\xc2\xb2', '\n        Townhouse in Turtle Bay ']","
$23,500
for rent
"
41,"['\n\xe2\x86\x91\n$35,000\nfor rent\n', '4 beds4.5 baths4,500 ft\xc2\xb2', '\n        Multi-family in Lenox Hill ']","
↑
$35,000
for rent
"
42,"['\n$3,450\nfor rent\n', 'Furnished1 bed1 bath', '\n        Rental Unit in Turtle Bay ', '\n          Listed by New York Residence\n']","
$3,450
for rent
"
43,"['\n\xe2\x86\x93\n$5,500\nfor rent\n', '2 beds2 baths1,085 ft\xc2\xb2', '\n        Condo in Murray Hill ', '\n          Listed by Blu Realty Group\n']","
↓
$5,500
for rent
"
44,"['\n\xe2\x86\x93\n$24,950\nfor rent\n', '4 beds4 baths4,500 ft\xc2\xb2', '\n        Condo in Tribeca ']","
↓
$24,950
for rent
"
45,"['\n$27,500\nfor rent\n', '4,400 ft\xc2\xb2', '\n        Townhouse in Soho ']","
$27,500
for rent
"
46,"['\n\xe2\x86\x93\n$17,000\nfor rent\n', '3 beds3.5 baths4,363 ft\xc2\xb2', '\n        Rental Unit in Tribeca ']","
↓
$17,000
for rent
"
47,"['\n\xe2\x86\x93\n$31,598\nfor rent\n', '4,213 ft\xc2\xb2', '\n        Rental Unit in Carnegie Hill ']","
↓
$31,598
for rent
"
48,"['\n$38,500\nfor rent\n', '4 beds2.5 baths4,200 ft\xc2\xb2', '\n        Condo in Soho ']","
$38,500
for rent
"
49,"['\n\xe2\x86\x93\n$27,000\nfor rent\n', '4 beds4.5 baths4,200 ft\xc2\xb2', '\n        Rental Unit in Lenox Hill ']","
↓
$27,000
for rent
"
50,"['\n$30,000\nfor rent\n', '5 beds5+ baths4,200 ft\xc2\xb2', '\n        Condo in Lincoln Square ']","
$30,000
for rent
"
51,"['\n$30,000\nfor rent\n', '4 beds4.5 baths4,182 ft\xc2\xb2', '\n        Rental Unit in Lenox Hill ']","
$30,000
for rent
"
52,"['\n$32,500\nfor rent\n', '5 beds3.5 baths4,059 ft\xc2\xb2', '\n        Condo in Lincoln Square ']","
$32,500
for rent
"
53,"['\n$14,800\nfor rent\n', 'Furnished1 bath4,037 ft\xc2\xb2', '\n        Apartment in Financial District ']","
$14,800
for rent
"
54,"['\n$14,800\nfor rent\n', 'Furnished1 bath4,037 ft\xc2\xb2', '\n        Apartment in Financial District ']","
$14,800
for rent
"
55,"['\n$25,000\nfor rent\n', '5 beds3.5 baths4,014 ft\xc2\xb2', '\n        Rental Unit in Tribeca ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              1:30 PM - 2:30 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
$25,000
for rent
"
56,"['\n$2,400\nfor rent\n', '1 bath', '\n        Rental Unit in Turtle Bay ', '\n          Listed by Douglas Elliman\n']","
$2,400
for rent
"
57,"['\n$6,800\nfor rent\n', '2 beds2 baths', '\n        Rental Unit in Chelsea ', '\n          Listed by The Chelsea\n']","
$6,800
for rent
"
58,"['\n$28,000\nfor rent\n', '3 beds3 baths4,000 ft\xc2\xb2', '\n        Condo in Tribeca ']","
$28,000
for rent
"
59,"['\n\xe2\x86\x93\n$20,000\nfor rent\n', '4 beds3 baths4,000 ft\xc2\xb2', '\n        Multi-family in Lenox Hill ']","
↓
$20,000
for rent
"
60,"['\n$18,500\nfor rent\n', '4 beds3.5 baths4,000 ft\xc2\xb2', '\n        Rental Unit in Kips Bay ']","
$18,500
for rent
"
61,"['\n\xe2\x86\x93\n$12,000\nfor rent\n', '2 beds2 baths4,000 ft\xc2\xb2', '\n        Rental Unit in Greenwich Village ']","
↓
$12,000
for rent
"
62,"['\n$48,500\nfor rent\n', 'Furnished5 beds5.5 baths4,000 ft\xc2\xb2', '\n        Condo in Lincoln Square ']","
$48,500
for rent
"
63,"['\n\xe2\x86\x93\n$22,800\nfor rent\n', '3 beds3.5 baths4,000 ft\xc2\xb2', '\n        Condo in Tribeca ']","
↓
$22,800
for rent
"
64,"['\n\xe2\x86\x91\n$40,000\nfor rent\n', 'Furnished4 beds5 baths4,000 ft\xc2\xb2', '\n        Condo in Flatiron ']","
↑
$40,000
for rent
"
65,"['\n\xe2\x86\x91\n$40,000\nfor rent\n', '4 beds5 baths4,000 ft\xc2\xb2', '\n        Condo in Flatiron ']","
↑
$40,000
for rent
"
66,"['\n\xe2\x86\x91\n$25,000\nfor rent\n', '4 beds3.5 baths4,000 ft\xc2\xb2', '\n        Townhouse in Greenwich Village ']","
↑
$25,000
for rent
"
67,"['\n\xe2\x86\x93\n$35,000\nfor rent\n', '5 beds4.5 baths3,850 ft\xc2\xb2', '\n        Rental Unit in Lincoln Square ']","
↓
$35,000
for rent
"
